"size","dtype","kurtx","skewx","mean_AB_exp","mean_AB_Weibull","var_AB_exp","var_AB_Weibull","tm_AB_exp","tm_AB_Weibull","fm_AB_exp","fm_AB_Weibull","mean_SE_exp","mean_SE_Weibull","var_SE_exp","var_SE_Weibull","tm_SE_exp","tm_SE_Weibull","fm_SE_exp","fm_SE_Weibull"
5400,1,14.4,2.6756383365054,2,1,12,11,12,1,3,5,7,7,7,3,11,9,11,7
5400,1,14.6,2.69691597675802,2,1,12,11,12,7,3,7,7,7,7,3,11,9,11,7
5400,1,14.8,2.71799634621836,2,7,12,11,12,7,3,7,7,7,11,3,11,9,11,7
5400,1,15,2.73888437900616,2,7,12,11,12,7,3,7,7,7,11,3,11,9,11,7
5400,1,15.2,2.75958480980281,2,1,12,5,12,1,3,7,7,7,7,7,11,9,11,7
5400,1,15.3999999999999,2.78010218492096,2,1,12,7,12,1,3,7,7,7,7,7,11,9,11,7
5400,1,15.6,2.80044087259686,2,1,12,7,12,7,3,7,7,7,7,7,11,9,11,7
5400,1,15.8,2.82060507257085,2,1,12,7,12,7,3,7,7,7,11,7,11,9,11,7
5400,1,16,2.84059882501572,2,1,12,7,12,1,3,7,7,7,11,7,11,9,11,7
5400,1,16.2,2.86042601886603,2,1,12,7,12,1,3,7,7,7,11,7,11,9,11,7
5400,1,16.4,2.88009039959704,2,1,12,7,12,1,3,7,7,7,11,7,11,9,11,7
5400,1,16.6,2.89959557649698,2,5,12,7,12,1,3,7,7,7,11,7,11,9,11,7
5400,1,16.8,2.91894502947258,2,7,12,7,12,1,3,7,7,7,7,7,11,9,11,7
5400,1,17,2.93814211542352,2,7,12,7,12,5,3,7,7,7,7,7,11,9,11,7
5400,1,17.2,2.95719007421951,2,7,12,7,4,5,3,7,7,7,7,7,11,9,11,7
5400,1,17.4,2.97609203430904,2,7,12,7,4,5,3,7,7,7,7,7,11,9,11,7
5400,1,17.6,2.99485101798764,2,7,12,7,4,5,3,7,7,7,11,7,11,9,11,7
5400,1,17.8,3.01346994635059,2,3,12,7,4,5,3,7,7,7,11,7,11,9,11,7
5400,1,18,3.03195164395263,2,3,12,7,4,5,3,7,7,7,11,7,11,9,11,7
5400,1,18.2,3.05029884319575,2,3,12,3,4,5,3,7,7,7,11,7,11,9,11,7
5400,1,18.4,3.06851418846428,2,3,12,1,10,7,3,7,7,7,11,3,11,9,11,7
5400,1,18.6,3.08660024002455,2,1,12,11,10,11,3,7,7,7,11,7,11,9,11,7
5400,1,18.8,3.1045594777057,2,1,12,5,10,11,3,7,7,7,11,7,11,9,11,7
5400,1,19,3.12239430437605,2,1,12,5,10,11,3,7,7,7,11,7,11,9,11,7
5400,1,19.2,3.14010704922916,2,3,12,5,10,11,3,7,7,7,11,3,11,9,11,7
5400,1,19.4,3.15769997089169,2,3,12,5,10,11,3,7,7,7,11,3,11,9,11,7
5400,1,19.6,3.1751752603652,2,3,12,5,10,11,3,7,7,7,11,3,11,9,11,7
5400,1,19.8,3.1925350438122,2,3,12,5,10,11,3,7,7,7,11,3,11,9,11,7
5400,1,20,3.20978138519678,2,3,12,5,10,11,3,7,7,7,11,3,11,5,11,7
5400,1,20.2,3.22691628878859,2,3,12,7,6,11,3,7,7,7,11,3,11,9,11,7
5400,1,20.4,3.24394170153907,2,3,12,7,6,11,3,7,7,7,11,3,11,9,11,7
5400,1,20.6,3.26085951533761,4,3,12,7,6,11,3,3,7,7,11,3,11,9,11,7
5400,1,20.7999999999999,3.27767156915499,4,3,12,7,6,11,3,1,7,7,11,3,11,5,11,7
5400,1,21,3.29437965108094,4,3,12,7,6,11,3,1,7,7,11,3,11,5,11,7
5400,1,21.2,3.31098550026216,4,3,12,7,6,11,3,1,7,7,11,3,11,5,11,7
5400,1,21.3999999999999,3.32749080874656,4,3,12,7,6,11,3,1,7,7,11,3,11,9,11,7
5400,1,21.6000000000001,3.34389722323944,4,3,12,7,6,11,3,1,7,7,11,3,11,9,11,7
5400,1,21.8,3.36020634677632,4,3,12,7,6,11,3,1,7,7,11,3,11,5,11,7
5400,1,22,3.37641974031768,4,3,12,7,6,1,3,3,7,7,11,3,11,5,11,7
5400,1,22.1999999999999,3.39253892426949,4,3,12,7,6,1,3,7,7,7,11,3,11,5,11,7
5400,1,22.4,3.40856537993421,4,3,12,7,6,7,3,7,7,7,11,3,11,5,11,7
5400,1,22.6,3.42450055089573,4,3,12,7,6,3,3,7,7,7,11,3,11,5,11,7
5400,1,22.8,3.44034584434206,4,3,12,7,6,3,3,7,7,7,11,3,11,5,11,7
5400,1,23,3.45610263232912,4,3,12,7,6,3,3,7,7,7,11,3,11,5,11,5
5400,1,23.1999999999999,3.47177225298877,4,3,12,7,6,7,3,7,7,7,11,7,11,5,11,5
5400,1,23.4,3.48735601168416,4,3,12,7,6,7,3,7,7,7,11,7,11,5,11,11
5400,1,23.6,3.50285518211498,4,3,12,7,6,7,3,7,7,7,11,7,11,5,11,11
5400,1,23.7999999999999,3.51827100737553,4,3,12,7,6,7,3,7,7,7,11,7,11,5,11,11
5400,1,24,3.53360470096768,4,3,12,7,6,7,3,7,7,7,11,7,11,5,11,11
5400,1,24.2,3.5488574477714,4,3,12,7,6,7,3,7,7,7,11,7,11,5,11,11
5400,1,24.4,3.56403040497475,4,3,12,7,6,7,3,7,7,7,11,7,11,5,11,11
5400,1,24.6,3.57912470296558,4,3,12,7,6,7,3,7,7,7,11,7,11,5,11,11
5400,1,24.8,3.59414144618661,4,3,12,7,6,7,3,7,7,7,11,7,11,11,11,11
5400,1,25,3.60908171395603,4,3,12,3,6,7,3,7,7,7,11,7,11,11,11,11
5400,1,25.1999999999999,3.62394656125491,4,3,12,3,2,7,3,7,7,7,11,7,11,11,11,11
5400,1,25.4,3.63873701948347,4,3,12,3,2,7,3,7,7,7,11,7,11,11,11,11
5400,1,25.6,3.65345409718729,4,3,12,3,2,7,3,7,7,7,11,7,11,11,11,11
5400,1,25.8,3.66809878075523,4,3,12,3,2,7,3,7,7,7,11,7,11,11,11,11
5400,1,26,3.68267203509023,4,3,12,3,2,7,3,7,7,7,11,11,11,11,11,11
